attr_path,pname,version,forge_type,origin_url,owner,repo,rev,rev_type,hash,fetch_url
_1oom,1oom,1.11.8,fetchFromGitHub,https://github.com/1oom-fork/1oom,1oom-fork,1oom,refs/tags/v1.11.8,tag,sha256-Y29Xc8ylXhpQO7dDl7z7XC7+RB4UOIRksZ8RtfaCiEc=,https://github.com/1oom-fork/1oom/archive/refs/tags/v1.11.8.tar.gz
_389-ds-base,389-ds-base,3.1.3,fetchFromGitHub,https://github.com/389ds/389-ds-base,389ds,389-ds-base,389-ds-base-3.1.3,tag,sha256-hRTK9xBu8v8+SGa/3IB8Alh/aGUiRRn2LmYOvXy0Yd4=,https://github.com/389ds/389-ds-base/archive/389-ds-base-3.1.3.tar.gz
abseil-cpp,abseil-cpp,20250814.1,fetchFromGitHub,https://github.com/abseil/abseil-cpp,abseil,abseil-cpp,refs/tags/20250814.1,tag,sha256-SCQDORhmJmTb0CYm15zjEa7dkwc+lpW2s1d4DsMRovI=,https://github.com/abseil/abseil-cpp/archive/refs/tags/20250814.1.tar.gz
abseil-cpp_202103,abseil-cpp,20210324.2,fetchFromGitHub,https://github.com/abseil/abseil-cpp,abseil,abseil-cpp,20210324.2,tag,sha256-fcxPhuI2eL/fnd6nT11p8DpUNwGNaXZmd03yOiZcOT0=,https://github.com/abseil/abseil-cpp/archive/20210324.2.tar.gz
abseil-cpp_202401,abseil-cpp,20240116.3,fetchFromGitHub,https://github.com/abseil/abseil-cpp,abseil,abseil-cpp,refs/tags/20240116.3,tag,sha256-VfC8kQtGlOew9iVKxQ7kIgqFMvHiDpSBhvyNOfneuwo=,https://github.com/abseil/abseil-cpp/archive/refs/tags/20240116.3.tar.gz
abseil-cpp_202407,abseil-cpp,20240722.1,fetchFromGitHub,https://github.com/abseil/abseil-cpp,abseil,abseil-cpp,refs/tags/20240722.1,tag,sha256-ir4hG2VIPv3se7JfWqCM/siLqFEFkmhMW/IGCocy6Pc=,https://github.com/abseil/abseil-cpp/archive/refs/tags/20240722.1.tar.gz
abseil-cpp_202505,abseil-cpp,20250512.1,fetchFromGitHub,https://github.com/abseil/abseil-cpp,abseil,abseil-cpp,refs/tags/20250512.1,tag,sha256-eB7OqTO9Vwts9nYQ/Mdq0Ds4T1KgmmpYdzU09VPWOhk=,https://github.com/abseil/abseil-cpp/archive/refs/tags/20250512.1.tar.gz
abseil-cpp_202508,abseil-cpp,20250814.1,fetchFromGitHub,https://github.com/abseil/abseil-cpp,abseil,abseil-cpp,refs/tags/20250814.1,tag,sha256-SCQDORhmJmTb0CYm15zjEa7dkwc+lpW2s1d4DsMRovI=,https://github.com/abseil/abseil-cpp/archive/refs/tags/20250814.1.tar.gz
acpica-tools,acpica-tools,20251212,fetchFromGitHub,https://github.com/acpica/acpica,acpica,acpica,refs/tags/20251212,tag,sha256-R2u93OzNv2/LcuxlqXBufGVv+rI3fNPMHl3VKcPn3VU=,https://github.com/acpica/acpica/archive/refs/tags/20251212.tar.gz
acr-cli,acr-cli,0.18,fetchFromGitHub,https://github.com/Azure/acr-cli,Azure,acr-cli,refs/tags/v0.18,tag,sha256-yMA+cbkmmwDwjPHTHVbxc+npyEklaGmDgCWXBUxlnyo=,https://github.com/Azure/acr-cli/archive/refs/tags/v0.18.tar.gz
adalanche,adalanche,2024.1.11,fetchFromGitHub,https://github.com/lkarlslund/adalanche,lkarlslund,adalanche,refs/tags/v2024.1.11,tag,sha256-SJa2PQCXTYdv5jMucpJOD2gC7Qk2dNdINHW4ZvLXSLw=,https://github.com/lkarlslund/adalanche/archive/refs/tags/v2024.1.11.tar.gz
advancecomp,advancecomp,2.6,fetchFromGitHub,https://github.com/amadvance/advancecomp,amadvance,advancecomp,refs/tags/v2.6,tag,sha256-MwXdXT/ZEvTcYV4DjhCUFflrPKBFu0fk5PmaWt4MMOU=,https://github.com/amadvance/advancecomp/archive/refs/tags/v2.6.tar.gz
aerospike,aerospike-server,8.0.0.10,fetchFromGitHub,https://github.com/aerospike/aerospike-server,aerospike,aerospike-server,8.0.0.10,tag,sha256-RZqlU6vF8w/w8YZRmDV1x/X6tMQ+I1HEwx2WA3zS7mc=,
affine,affine,0.26.2,fetchFromGitHub,https://github.com/toeverything/AFFiNE,toeverything,AFFiNE,refs/tags/v0.26.2,tag,sha256-qFJezmSNq6Uq6xvCGUITeidrChQiZWI6lw9ZX8PcwXc=,https://github.com/toeverything/AFFiNE/archive/refs/tags/v0.26.2.tar.gz
afsctool,afsctool,1.7.3,fetchFromGitHub,https://github.com/RJVB/afsctool,RJVB,afsctool,refs/tags/v1.7.3,tag,sha256-cZ0P9cygj+5GgkDRpQk7P9z8zh087fpVfrYXMRRVUAI=,https://github.com/RJVB/afsctool/archive/refs/tags/v1.7.3.tar.gz
aichat,aichat,0.30.0,fetchFromGitHub,https://github.com/sigoden/aichat,sigoden,aichat,refs/tags/v0.30.0,tag,sha256-xgTGii1xGtCc1OLoC53HAtQ+KVZNO1plB2GVtVBBlqs=,https://github.com/sigoden/aichat/archive/refs/tags/v0.30.0.tar.gz
