attr_path,pname,version,forge_type,origin_url,owner,repo,rev,rev_type,hash,fetch_url,altered_tag,sha_before_alteration,old_snap_timestamp,sha_after_alteration,alteration_detected_at,outcome,returncode,got_hash,stderr_tail,checked_at
armips,armips,0.11.0,fetchFromGitHub,https://github.com/Kingcom/armips,Kingcom,armips,refs/tags/v0.11.0,tag,sha256-L+Uxww/WtvDJn1xZqoqA6Pkzq/98sy1qTxZbv6eEjbA=,https://github.com/Kingcom/armips/archive/refs/tags/v0.11.0.tar.gz,refs/tags/v0.11.0,swh:1:snp:18e62bde6a1e1933cca215d0cc2a5c9ded4cca88,1601828795,swh:1:snp:b02e6473e038a508e874bb6e990bbb8ee7f802ef,1643132643,success,0,,"ext-0.26' from 'https://cache.nixos.org'...
copying path '/nix/store/wv5biyanr4nkzdrjs2h22f5gr3fs5wyh-nghttp2-1.67.1-dev' from 'https://cache.nixos.org'...
copying path '/nix/store/7j18wxmqvp2jk5kpjwwyb6ky8kv5bd2x-openssl-3.6.1-bin' from 'https://cache.nixos.org'...
copying path '/nix/store/61cj6q1qv2dibpmryaccn4drwc55ysv8-xz-5.8.2-bin' from 'https://cache.nixos.org'...
copying path '/nix/store/jqhx3b3qcz339zk5bfxb11mhh7h4zglw-libssh2-1.11.1' from 'https://cache.nixos.org'...
copying path '/nix/store/z4nj80nfcllba9n6drf4axylzb24s15k-file-5.45' from 'https://cache.nixos.org'...
copying path '/nix/store/67a37s907bmcms143slallmjnsh2s7w8-patch-2.8' from 'https://cache.nixos.org'...
copying path '/nix/store/23c6sxdfaa5r38ihc7y575vv7j4qs4sk-update-autotools-gnu-config-scripts-hook' from 'https://cache.nixos.org'...
copying path '/nix/store/5knzc9w31z2yd666mnzv4sh67f1vhlka-zlib-1.3.1-dev' from 'https://cache.nixos.org'...
copying path '/nix/store/chdj76m79c3lbwdn6bflwlqa2n2igx02-coreutils-9.10' from 'https://cache.nixos.org'...
copying path '/nix/store/mp4002abjggfg0cqvyyan4x8snclnnmy-openssl-3.6.1-dev' from 'https://cache.nixos.org'...
copying path '/nix/store/pbyr28bfpcmm7mmc6hbi4kg44kcdx0v2-curl-8.18.0' from 'https://cache.nixos.org'...
copying path '/nix/store/6vg01x5m5ij9wcr47ahld29llivacgcb-curl-8.18.0-dev' from 'https://cache.nixos.org'...
checking outputs of '/nix/store/ss4gxmgfcbqbzh4hn7isfs7rhqamc877-source.drv'...
source> structuredAttrs is enabled
source> 
source> trying https://github.com/Kingcom/armips/archive/refs/tags/v0.11.0.tar.gz
source>   % Total    % Received % Xferd  Average Speed  Time    Time    Time   Current
source>                                  Dload  Upload  Total   Spent   Left   Speed
source>   0      0   0      0   0      0      0      0                              0
source> 100 192.6k   0 192.6k   0      0 358.9k      0                              0
source> unpacking source archive /nix/var/nix/builds/nix-92459-676045050/download.tar.gz",2026-03-07T17:55:11.483728+00:00
cozy,cozy,1.3.0,fetchFromGitHub,https://github.com/geigi/cozy,geigi,cozy,refs/tags/1.3.0,tag,sha256-oMgdz2dny0u1XV13aHu5s8/pcAz8z/SAOf4hbCDsdjw,https://github.com/geigi/cozy/archive/refs/tags/1.3.0.tar.gz,refs/tags/1.3.0,swh:1:snp:bfeb954cf866b15c9b5118bf333789f952a5d2c9,1701696483,swh:1:snp:56415de1de815c995b40b61e9218e434be5791ff,1708152751,success,0,,"wyh-nghttp2-1.67.1-dev' from 'https://cache.nixos.org'...
copying path '/nix/store/7bp4xz524b106ay6hxp27k83p50ziv4w-bzip2-1.0.8-bin' from 'https://cache.nixos.org'...
copying path '/nix/store/z4nj80nfcllba9n6drf4axylzb24s15k-file-5.45' from 'https://cache.nixos.org'...
copying path '/nix/store/5knzc9w31z2yd666mnzv4sh67f1vhlka-zlib-1.3.1-dev' from 'https://cache.nixos.org'...
copying path '/nix/store/jqhx3b3qcz339zk5bfxb11mhh7h4zglw-libssh2-1.11.1' from 'https://cache.nixos.org'...
copying path '/nix/store/67a37s907bmcms143slallmjnsh2s7w8-patch-2.8' from 'https://cache.nixos.org'...
copying path '/nix/store/23c6sxdfaa5r38ihc7y575vv7j4qs4sk-update-autotools-gnu-config-scripts-hook' from 'https://cache.nixos.org'...
copying path '/nix/store/61cj6q1qv2dibpmryaccn4drwc55ysv8-xz-5.8.2-bin' from 'https://cache.nixos.org'...
copying path '/nix/store/chdj76m79c3lbwdn6bflwlqa2n2igx02-coreutils-9.10' from 'https://cache.nixos.org'...
copying path '/nix/store/mp4002abjggfg0cqvyyan4x8snclnnmy-openssl-3.6.1-dev' from 'https://cache.nixos.org'...
copying path '/nix/store/pbyr28bfpcmm7mmc6hbi4kg44kcdx0v2-curl-8.18.0' from 'https://cache.nixos.org'...
copying path '/nix/store/5f96fidrw1fhyv8kxmx1d31m7qymlqdd-gnugrep-3.12' from 'https://cache.nixos.org'...
copying path '/nix/store/6vg01x5m5ij9wcr47ahld29llivacgcb-curl-8.18.0-dev' from 'https://cache.nixos.org'...
checking outputs of '/nix/store/5n8x44ds35sd9qh7650srcypjmrs64wq-source.drv'...
source> structuredAttrs is enabled
source> 
source> trying https://github.com/geigi/cozy/archive/refs/tags/1.3.0.tar.gz
source>   % Total    % Received % Xferd  Average Speed  Time    Time    Time   Current
source>                                  Dload  Upload  Total   Spent   Left   Speed
source>   0      0   0      0   0      0      0      0                              0
source> 100 324.3k   0 324.3k   0      0 597.7k      0                              0
source> unpacking source archive /nix/var/nix/builds/nix-92470-806730757/download.tar.gz",2026-03-07T17:55:11.698946+00:00
cozy,cozy,1.3.0,fetchFromGitHub,https://github.com/geigi/cozy,geigi,cozy,refs/tags/1.3.0,tag,sha256-oMgdz2dny0u1XV13aHu5s8/pcAz8z/SAOf4hbCDsdjw,https://github.com/geigi/cozy/archive/refs/tags/1.3.0.tar.gz,refs/tags/1.3.0,swh:1:snp:56415de1de815c995b40b61e9218e434be5791ff,1708152751,swh:1:snp:f4e81bc603947f1644e193f8edc92c3707659ab0,1710720774,success,0,,"wyh-nghttp2-1.67.1-dev' from 'https://cache.nixos.org'...
copying path '/nix/store/7bp4xz524b106ay6hxp27k83p50ziv4w-bzip2-1.0.8-bin' from 'https://cache.nixos.org'...
copying path '/nix/store/z4nj80nfcllba9n6drf4axylzb24s15k-file-5.45' from 'https://cache.nixos.org'...
copying path '/nix/store/5knzc9w31z2yd666mnzv4sh67f1vhlka-zlib-1.3.1-dev' from 'https://cache.nixos.org'...
copying path '/nix/store/jqhx3b3qcz339zk5bfxb11mhh7h4zglw-libssh2-1.11.1' from 'https://cache.nixos.org'...
copying path '/nix/store/67a37s907bmcms143slallmjnsh2s7w8-patch-2.8' from 'https://cache.nixos.org'...
copying path '/nix/store/23c6sxdfaa5r38ihc7y575vv7j4qs4sk-update-autotools-gnu-config-scripts-hook' from 'https://cache.nixos.org'...
copying path '/nix/store/61cj6q1qv2dibpmryaccn4drwc55ysv8-xz-5.8.2-bin' from 'https://cache.nixos.org'...
copying path '/nix/store/chdj76m79c3lbwdn6bflwlqa2n2igx02-coreutils-9.10' from 'https://cache.nixos.org'...
copying path '/nix/store/mp4002abjggfg0cqvyyan4x8snclnnmy-openssl-3.6.1-dev' from 'https://cache.nixos.org'...
copying path '/nix/store/pbyr28bfpcmm7mmc6hbi4kg44kcdx0v2-curl-8.18.0' from 'https://cache.nixos.org'...
copying path '/nix/store/5f96fidrw1fhyv8kxmx1d31m7qymlqdd-gnugrep-3.12' from 'https://cache.nixos.org'...
copying path '/nix/store/6vg01x5m5ij9wcr47ahld29llivacgcb-curl-8.18.0-dev' from 'https://cache.nixos.org'...
checking outputs of '/nix/store/5n8x44ds35sd9qh7650srcypjmrs64wq-source.drv'...
source> structuredAttrs is enabled
source> 
source> trying https://github.com/geigi/cozy/archive/refs/tags/1.3.0.tar.gz
source>   % Total    % Received % Xferd  Average Speed  Time    Time    Time   Current
source>                                  Dload  Upload  Total   Spent   Left   Speed
source>   0      0   0      0   0      0      0      0                              0
source> 100 324.3k   0 324.3k   0      0 597.7k      0                              0
source> unpacking source archive /nix/var/nix/builds/nix-92470-806730757/download.tar.gz",2026-03-07T17:55:11.698946+00:00
dosbox-staging,dosbox-staging,0.82.2,fetchFromGitHub,https://github.com/dosbox-staging/dosbox-staging,dosbox-staging,dosbox-staging,refs/tags/v0.82.2,tag,sha256-u9W6TfHF+BNeoExcx98kCVJu1BNwWnvjBEg84evMnBw=,https://github.com/dosbox-staging/dosbox-staging/archive/refs/tags/v0.82.2.tar.gz,refs/tags/v0.82.2,swh:1:snp:c80dfec390768deb3eb595840cc3d47b1172da55,1745878057,swh:1:snp:d0b42e4f57b69fd3b994a95a61a330e308d3e073,1750434610,success,0,,"bin' from 'https://cache.nixos.org'...
copying path '/nix/store/chdj76m79c3lbwdn6bflwlqa2n2igx02-coreutils-9.10' from 'https://cache.nixos.org'...
copying path '/nix/store/z4nj80nfcllba9n6drf4axylzb24s15k-file-5.45' from 'https://cache.nixos.org'...
copying path '/nix/store/7523pggzxfpxymkarxyivf0wrnk826rj-gettext-0.26' from 'https://cache.nixos.org'...
copying path '/nix/store/jqhx3b3qcz339zk5bfxb11mhh7h4zglw-libssh2-1.11.1' from 'https://cache.nixos.org'...
copying path '/nix/store/23c6sxdfaa5r38ihc7y575vv7j4qs4sk-update-autotools-gnu-config-scripts-hook' from 'https://cache.nixos.org'...
copying path '/nix/store/61cj6q1qv2dibpmryaccn4drwc55ysv8-xz-5.8.2-bin' from 'https://cache.nixos.org'...
copying path '/nix/store/5knzc9w31z2yd666mnzv4sh67f1vhlka-zlib-1.3.1-dev' from 'https://cache.nixos.org'...
copying path '/nix/store/67a37s907bmcms143slallmjnsh2s7w8-patch-2.8' from 'https://cache.nixos.org'...
copying path '/nix/store/mp4002abjggfg0cqvyyan4x8snclnnmy-openssl-3.6.1-dev' from 'https://cache.nixos.org'...
copying path '/nix/store/5f96fidrw1fhyv8kxmx1d31m7qymlqdd-gnugrep-3.12' from 'https://cache.nixos.org'...
copying path '/nix/store/pbyr28bfpcmm7mmc6hbi4kg44kcdx0v2-curl-8.18.0' from 'https://cache.nixos.org'...
copying path '/nix/store/6vg01x5m5ij9wcr47ahld29llivacgcb-curl-8.18.0-dev' from 'https://cache.nixos.org'...
checking outputs of '/nix/store/12j14xl6can6dic6lwbn9pn8nh5calbb-source.drv'...
source> structuredAttrs is enabled
source> 
source> trying https://github.com/dosbox-staging/dosbox-staging/archive/refs/tags/v0.82.2.tar.gz
source>   % Total    % Received % Xferd  Average Speed  Time    Time    Time   Current
source>                                  Dload  Upload  Total   Spent   Left   Speed
source>   0      0   0      0   0      0      0      0                              0
source> 100  6.38M   0  6.38M   0      0  5.31M      0           00:01              0
source> unpacking source archive /nix/var/nix/builds/nix-92457-2454151705/download.tar.gz",2026-03-07T17:55:13.353776+00:00
driftnet,driftnet,1.6.0,fetchFromGitHub,https://github.com/deiv/driftnet,deiv,driftnet,refs/tags/v1.6.0,tag,sha256-f7EPC/n3CyxVOXC6j43Nnwkgu/aDVst8lQpzfgegDsI=,https://github.com/deiv/driftnet/archive/refs/tags/v1.6.0.tar.gz,refs/tags/v1.6.0,swh:1:snp:0be0677e1b56037eaa6bf434b08d71d66c1acb7f,1745997224,swh:1:snp:8119fb6781ce62841ae1192723e5bfda0dea7ced,1747103621,success,0,,"2x-openssl-3.6.1-bin' from 'https://cache.nixos.org'...
copying path '/nix/store/z4nj80nfcllba9n6drf4axylzb24s15k-file-5.45' from 'https://cache.nixos.org'...
copying path '/nix/store/61cj6q1qv2dibpmryaccn4drwc55ysv8-xz-5.8.2-bin' from 'https://cache.nixos.org'...
copying path '/nix/store/5knzc9w31z2yd666mnzv4sh67f1vhlka-zlib-1.3.1-dev' from 'https://cache.nixos.org'...
copying path '/nix/store/7523pggzxfpxymkarxyivf0wrnk826rj-gettext-0.26' from 'https://cache.nixos.org'...
copying path '/nix/store/jqhx3b3qcz339zk5bfxb11mhh7h4zglw-libssh2-1.11.1' from 'https://cache.nixos.org'...
copying path '/nix/store/chdj76m79c3lbwdn6bflwlqa2n2igx02-coreutils-9.10' from 'https://cache.nixos.org'...
copying path '/nix/store/67a37s907bmcms143slallmjnsh2s7w8-patch-2.8' from 'https://cache.nixos.org'...
copying path '/nix/store/23c6sxdfaa5r38ihc7y575vv7j4qs4sk-update-autotools-gnu-config-scripts-hook' from 'https://cache.nixos.org'...
copying path '/nix/store/mp4002abjggfg0cqvyyan4x8snclnnmy-openssl-3.6.1-dev' from 'https://cache.nixos.org'...
copying path '/nix/store/5f96fidrw1fhyv8kxmx1d31m7qymlqdd-gnugrep-3.12' from 'https://cache.nixos.org'...
copying path '/nix/store/pbyr28bfpcmm7mmc6hbi4kg44kcdx0v2-curl-8.18.0' from 'https://cache.nixos.org'...
copying path '/nix/store/6vg01x5m5ij9wcr47ahld29llivacgcb-curl-8.18.0-dev' from 'https://cache.nixos.org'...
checking outputs of '/nix/store/qxlip7aibn25gl1ad708h1sk283nx7bl-source.drv'...
source> structuredAttrs is enabled
source> 
source> trying https://github.com/deiv/driftnet/archive/refs/tags/v1.6.0.tar.gz
source>   % Total    % Received % Xferd  Average Speed  Time    Time    Time   Current
source>                                  Dload  Upload  Total   Spent   Left   Speed
source>   0      0   0      0   0      0      0      0                              0
source> 100  5.50M   0  5.50M   0      0  7.80M      0                              0
source> unpacking source archive /nix/var/nix/builds/nix-92463-2029354227/download.tar.gz",2026-03-07T17:55:11.446184+00:00
faraday-agent-dispatcher,faraday-agent-dispatcher,3.4.2,fetchFromGitHub,https://github.com/infobyte/faraday_agent_dispatcher,infobyte,faraday_agent_dispatcher,refs/tags/3.4.2,tag,sha256-Qr3ZGU4y7f6yHD78ecdv7a6IBFDpT+/4Yez0n/MenN0=,https://github.com/infobyte/faraday_agent_dispatcher/archive/refs/tags/3.4.2.tar.gz,refs/tags/3.4.2,swh:1:snp:1bc292c9f88b116ba209a32d3ceb75ba52b036f9,1720655821,swh:1:snp:c44391387690b21ef3df446d52f2af77cab4df15,1721613347,success,0,,"https://cache.nixos.org'...
copying path '/nix/store/wv5biyanr4nkzdrjs2h22f5gr3fs5wyh-nghttp2-1.67.1-dev' from 'https://cache.nixos.org'...
copying path '/nix/store/7bp4xz524b106ay6hxp27k83p50ziv4w-bzip2-1.0.8-bin' from 'https://cache.nixos.org'...
copying path '/nix/store/67a37s907bmcms143slallmjnsh2s7w8-patch-2.8' from 'https://cache.nixos.org'...
copying path '/nix/store/z4nj80nfcllba9n6drf4axylzb24s15k-file-5.45' from 'https://cache.nixos.org'...
copying path '/nix/store/jqhx3b3qcz339zk5bfxb11mhh7h4zglw-libssh2-1.11.1' from 'https://cache.nixos.org'...
copying path '/nix/store/23c6sxdfaa5r38ihc7y575vv7j4qs4sk-update-autotools-gnu-config-scripts-hook' from 'https://cache.nixos.org'...
copying path '/nix/store/5knzc9w31z2yd666mnzv4sh67f1vhlka-zlib-1.3.1-dev' from 'https://cache.nixos.org'...
copying path '/nix/store/61cj6q1qv2dibpmryaccn4drwc55ysv8-xz-5.8.2-bin' from 'https://cache.nixos.org'...
copying path '/nix/store/chdj76m79c3lbwdn6bflwlqa2n2igx02-coreutils-9.10' from 'https://cache.nixos.org'...
copying path '/nix/store/mp4002abjggfg0cqvyyan4x8snclnnmy-openssl-3.6.1-dev' from 'https://cache.nixos.org'...
copying path '/nix/store/pbyr28bfpcmm7mmc6hbi4kg44kcdx0v2-curl-8.18.0' from 'https://cache.nixos.org'...
copying path '/nix/store/6vg01x5m5ij9wcr47ahld29llivacgcb-curl-8.18.0-dev' from 'https://cache.nixos.org'...
checking outputs of '/nix/store/39kjiqx82mc55gjbmraj19cads0zdz6b-source.drv'...
source> structuredAttrs is enabled
source> 
source> trying https://github.com/infobyte/faraday_agent_dispatcher/archive/refs/tags/3.4.2.tar.gz
source>   % Total    % Received % Xferd  Average Speed  Time    Time    Time   Current
source>                                  Dload  Upload  Total   Spent   Left   Speed
source>   0      0   0      0   0      0      0      0                              0
source> 100 814.0k   0 814.0k   0      0  1.17M      0                              0
source> unpacking source archive /nix/var/nix/builds/nix-92456-3169536422/download.tar.gz",2026-03-07T17:55:11.954091+00:00
gamemode,gamemode,1.8.2,fetchFromGitHub,https://github.com/FeralInteractive/gamemode,FeralInteractive,gamemode,refs/tags/1.8.2,tag,sha256-V0rewbSVOGFqJqXyCz4jXpuDM0EfjdkpGPl+WdDwI5I=,https://github.com/FeralInteractive/gamemode/archive/refs/tags/1.8.2.tar.gz,refs/tags/1.8.2,swh:1:snp:ce0233d3eb10836f2f1cbb6837e37d6294a6a0a5,1725054440,swh:1:snp:4030d251cc4786035ba073a598ce7192469a34d4,1726350566,success,0,,".1-dev' from 'https://cache.nixos.org'...
copying path '/nix/store/7523pggzxfpxymkarxyivf0wrnk826rj-gettext-0.26' from 'https://cache.nixos.org'...
copying path '/nix/store/7bp4xz524b106ay6hxp27k83p50ziv4w-bzip2-1.0.8-bin' from 'https://cache.nixos.org'...
copying path '/nix/store/jqhx3b3qcz339zk5bfxb11mhh7h4zglw-libssh2-1.11.1' from 'https://cache.nixos.org'...
copying path '/nix/store/z4nj80nfcllba9n6drf4axylzb24s15k-file-5.45' from 'https://cache.nixos.org'...
copying path '/nix/store/61cj6q1qv2dibpmryaccn4drwc55ysv8-xz-5.8.2-bin' from 'https://cache.nixos.org'...
copying path '/nix/store/5knzc9w31z2yd666mnzv4sh67f1vhlka-zlib-1.3.1-dev' from 'https://cache.nixos.org'...
copying path '/nix/store/23c6sxdfaa5r38ihc7y575vv7j4qs4sk-update-autotools-gnu-config-scripts-hook' from 'https://cache.nixos.org'...
copying path '/nix/store/67a37s907bmcms143slallmjnsh2s7w8-patch-2.8' from 'https://cache.nixos.org'...
copying path '/nix/store/chdj76m79c3lbwdn6bflwlqa2n2igx02-coreutils-9.10' from 'https://cache.nixos.org'...
copying path '/nix/store/mp4002abjggfg0cqvyyan4x8snclnnmy-openssl-3.6.1-dev' from 'https://cache.nixos.org'...
copying path '/nix/store/pbyr28bfpcmm7mmc6hbi4kg44kcdx0v2-curl-8.18.0' from 'https://cache.nixos.org'...
copying path '/nix/store/6vg01x5m5ij9wcr47ahld29llivacgcb-curl-8.18.0-dev' from 'https://cache.nixos.org'...
checking outputs of '/nix/store/qcssm5pf5hlhf767x6425jxrny0xy0cd-source.drv'...
source> structuredAttrs is enabled
source> 
source> trying https://github.com/FeralInteractive/gamemode/archive/refs/tags/1.8.2.tar.gz
source>   % Total    % Received % Xferd  Average Speed  Time    Time    Time   Current
source>                                  Dload  Upload  Total   Spent   Left   Speed
source>   0      0   0      0   0      0      0      0                              0
source> 100  79877   0  79877   0      0 157.8k      0                              0
source> unpacking source archive /nix/var/nix/builds/nix-92465-1763655388/download.tar.gz",2026-03-07T17:55:11.256444+00:00
go-cve-search,go-cve-search,0.1.4,fetchFromGitHub,https://github.com/s-index/go-cve-search,s-index,go-cve-search,refs/tags/v0.1.4,tag,sha256-gx2No5XGflGY6TIU92gz9XrNDzd4NiSuxpbwxChlqWo=,https://github.com/s-index/go-cve-search/archive/refs/tags/v0.1.4.tar.gz,refs/tags/v0.1.4,swh:1:snp:8872f8aeab7db1e1c50eaa47fd41dbbf1c794897,1677392027,swh:1:snp:12922a6082a590698c4b2474e1b31c7df6b28ca9,1678991193,success,0,,"lallmjnsh2s7w8-patch-2.8' from 'https://cache.nixos.org'...
copying path '/nix/store/chdj76m79c3lbwdn6bflwlqa2n2igx02-coreutils-9.10' from 'https://cache.nixos.org'...
copying path '/nix/store/mp4002abjggfg0cqvyyan4x8snclnnmy-openssl-3.6.1-dev' from 'https://cache.nixos.org'...
copying path '/nix/store/5f96fidrw1fhyv8kxmx1d31m7qymlqdd-gnugrep-3.12' from 'https://cache.nixos.org'...
copying path '/nix/store/pbyr28bfpcmm7mmc6hbi4kg44kcdx0v2-curl-8.18.0' from 'https://cache.nixos.org'...
copying path '/nix/store/lshl2bkmcbdsbb8qifm0r61s80w5kj8n-curl-8.18.0-bin' from 'https://cache.nixos.org'...
copying path '/nix/store/0xkxjb418kdssdxx3c8filikjqhzxwcx-diffutils-3.12' from 'https://cache.nixos.org'...
copying path '/nix/store/laagkkm7lnm746374c4cii932b77pmaw-findutils-4.10.0' from 'https://cache.nixos.org'...
copying path '/nix/store/l8x5vj866jxykg5ha8fbagy2m3p6458c-libssh2-1.11.1-dev' from 'https://cache.nixos.org'...
copying path '/nix/store/6vg01x5m5ij9wcr47ahld29llivacgcb-curl-8.18.0-dev' from 'https://cache.nixos.org'...
copying path '/nix/store/l8jkq4dnsknlxz436w6gw5rcm09mvq6p-gnumake-4.4.1' from 'https://cache.nixos.org'...
copying path '/nix/store/2q9piicbr4dws7xi4xggb1nqs08k541h-gnutar-1.35' from 'https://cache.nixos.org'...
copying path '/nix/store/z8zhrwi26p9yv43cq5cqck2gd050zd1d-stdenv-darwin' from 'https://cache.nixos.org'...
checking outputs of '/nix/store/aqbbip2mhs34pq31xp9x96ddygq3clzp-source.drv'...
source> structuredAttrs is enabled
source> 
source> trying https://github.com/s-index/go-cve-search/archive/refs/tags/v0.1.4.tar.gz
source>   % Total    % Received % Xferd  Average Speed  Time    Time    Time   Current
source>                                  Dload  Upload  Total   Spent   Left   Speed
source>   0      0   0      0   0      0      0      0                              0
source> 100  4.85M   0  4.85M   0      0  4.63M      0           00:01              0
source> unpacking source archive /nix/var/nix/builds/nix-92466-35633204/download.tar.gz",2026-03-07T17:55:11.414020+00:00
haunt,haunt,0.3.0,fetchgit,https://git.dthompson.us/haunt.git,,,refs/tags/v0.3.0,tag,sha256-i6MI0eaRiA/JNgkIBJGLAsqMnyJz47aavyD6kOL7sqU=,,refs/tags/v0.3.0,swh:1:snp:19638c9877c6766a4c5203653437346fe5cc2ac0,1687453166,swh:1:snp:dd7e7f1d145459c6f47916cb7f6ee0b2d9eb82e6,1702614077,success,0,," 'https://cache.nixos.org'...
copying path '/nix/store/g01cfkaq4cnpr91n8sh50zynrjfissff-krb5-1.22.1-lib' from 'https://cache.nixos.org'...
copying path '/nix/store/96sv0cscfahck41kqgsldyd8cdsvlwsm-libssh2-1.11.1' from 'https://cache.nixos.org'...
copying path '/nix/store/z840bn6rgspm12yzfpcfhbmf1j3inyxn-ngtcp2-1.19.0' from 'https://cache.nixos.org'...
copying path '/nix/store/nx46x0jqb7lbvpwx9iv7n4sm20aisyjl-readline-8.3p3' from 'https://cache.nixos.org'...
copying path '/nix/store/zk0hi525wn70pm93gzgdbb5k07y6x2lm-bash-interactive-5.3p9' from 'https://cache.nixos.org'...
copying path '/nix/store/figzlgahdchbcpd9kmaxraa5i5rr7a50-libunistring-1.4.1' from 'https://cache.nixos.org'...
copying path '/nix/store/8gvx83ghqlsqxxmp5d2in3cqrpfi7n9i-libidn2-2.3.8' from 'https://cache.nixos.org'...
copying path '/nix/store/9xgp2ijg4znkhbgnm652dnjl691qpp75-libpsl-0.21.5' from 'https://cache.nixos.org'...
copying path '/nix/store/720lfjb95xm6bpv2jp52pd393as7c9qx-curl-8.18.0' from 'https://cache.nixos.org'...
copying path '/nix/store/l76cijmw3brqdn3zns7k553lwdfl2hlm-git-minimal-2.53.0' from 'https://cache.nixos.org'...
checking outputs of '/nix/store/5x81w9alzrsbwra98bniva1z1jvdwwvr-haunt.drv'...
haunt> structuredAttrs is enabled
haunt> exporting https://git.dthompson.us/haunt.git (rev refs/tags/v0.3.0) into /nix/store/brrlm0j2x2i4j1v5fivvad3b0aafqp3n-haunt
haunt> Initialized empty Git repository in /nix/store/brrlm0j2x2i4j1v5fivvad3b0aafqp3n-haunt/.git/
haunt> remote: Enumerating objects: 76, done.
haunt> remote: Counting objects: 100% (76/76), done.
haunt> remote: Compressing objects: 100% (72/72), done.
haunt> remote: Total 76 (delta 13), reused 15 (delta 0), pack-reused 0 (from 0)
haunt> Unpacking objects: 100% (76/76), 111.29 KiB | 690.00 KiB/s, done.
haunt> From https://git.dthompson.us/haunt
haunt>  * tag               v0.3.0     -> FETCH_HEAD
haunt> Switched to a new branch 'fetchgit'
haunt> refer to FETCH_HEAD as its original name refs/tags/v0.3.0
haunt> removing `.git'...",2026-03-07T17:55:19.641639+00:00
hjson,hjson,3.0.2,fetchFromGitHub,https://github.com/hjson/hjson-py,hjson,hjson-py,refs/tags/v3.0.2,tag,sha256-VrCLHfXShF45IEhGVQpryBzjxreQEunyghazDNKRh8k=,https://github.com/hjson/hjson-py/archive/refs/tags/v3.0.2.tar.gz,refs/tags/v3.0.2,swh:1:snp:a3c9fe9e15d0d0a2f034f32a34ae532e2e7a5401,1496270512,swh:1:snp:df15422b759ba5df754d320652a980a21de54112,1610154451,success,0,,"checking outputs of '/nix/store/4w8riagpwg4j7kjji33ddb09phrd7j96-source.drv'...
source> structuredAttrs is enabled
source> 
source> trying https://github.com/hjson/hjson-py/archive/refs/tags/v3.0.2.tar.gz
source>   % Total    % Received % Xferd  Average Speed  Time    Time    Time   Current
source>                                  Dload  Upload  Total   Spent   Left   Speed
source>   0      0   0      0   0      0      0      0                              0
source> 100  72965   0  72965   0      0 136.0k      0                              0
source> unpacking source archive /nix/var/nix/builds/nix-92719-4150153760/download.tar.gz",2026-03-07T17:55:13.548133+00:00
