attr_path,forge_type,stored_hash,fetched_hash,hash_match,fetch_error,checked_at
armips,fetchFromGitHub,sha256-L+Uxww/WtvDJn1xZqoqA6Pkzq/98sy1qTxZbv6eEjbA=,sha256-L+Uxww/WtvDJn1xZqoqA6Pkzq/98sy1qTxZbv6eEjbA=,True,,2026-03-07T15:41:57.676403+00:00
cozy,fetchFromGitHub,sha256-oMgdz2dny0u1XV13aHu5s8/pcAz8z/SAOf4hbCDsdjw,sha256-oMgdz2dny0u1XV13aHu5s8/pcAz8z/SAOf4hbCDsdjw=,True,,2026-03-07T15:41:57.676700+00:00
cozy,fetchFromGitHub,sha256-oMgdz2dny0u1XV13aHu5s8/pcAz8z/SAOf4hbCDsdjw,sha256-oMgdz2dny0u1XV13aHu5s8/pcAz8z/SAOf4hbCDsdjw=,True,,2026-03-07T15:41:57.680213+00:00
dosbox-staging,fetchFromGitHub,sha256-u9W6TfHF+BNeoExcx98kCVJu1BNwWnvjBEg84evMnBw=,sha256-u9W6TfHF+BNeoExcx98kCVJu1BNwWnvjBEg84evMnBw=,True,,2026-03-07T15:41:57.680372+00:00
driftnet,fetchFromGitHub,sha256-f7EPC/n3CyxVOXC6j43Nnwkgu/aDVst8lQpzfgegDsI=,sha256-f7EPC/n3CyxVOXC6j43Nnwkgu/aDVst8lQpzfgegDsI=,True,,2026-03-07T15:41:58.344039+00:00
faraday-agent-dispatcher,fetchFromGitHub,sha256-Qr3ZGU4y7f6yHD78ecdv7a6IBFDpT+/4Yez0n/MenN0=,sha256-Qr3ZGU4y7f6yHD78ecdv7a6IBFDpT+/4Yez0n/MenN0=,True,,2026-03-07T15:41:58.381313+00:00
gamemode,fetchFromGitHub,sha256-V0rewbSVOGFqJqXyCz4jXpuDM0EfjdkpGPl+WdDwI5I=,sha256-V0rewbSVOGFqJqXyCz4jXpuDM0EfjdkpGPl+WdDwI5I=,True,,2026-03-07T15:41:58.407821+00:00
go-cve-search,fetchFromGitHub,sha256-gx2No5XGflGY6TIU92gz9XrNDzd4NiSuxpbwxChlqWo=,sha256-gx2No5XGflGY6TIU92gz9XrNDzd4NiSuxpbwxChlqWo=,True,,2026-03-07T15:41:59.048725+00:00
haunt,fetchgit,sha256-i6MI0eaRiA/JNgkIBJGLAsqMnyJz47aavyD6kOL7sqU=,,,Command not found: nix-prefetch-git,2026-03-07T15:41:59.063167+00:00
hjson,fetchFromGitHub,sha256-VrCLHfXShF45IEhGVQpryBzjxreQEunyghazDNKRh8k=,sha256-VrCLHfXShF45IEhGVQpryBzjxreQEunyghazDNKRh8k=,True,,2026-03-07T15:41:59.069948+00:00
