attr_path,pname,version,forge_type,origin_url,owner,repo,rev,rev_type,hash,fetch_url,altered_tag,sha_before_alteration,old_snap_timestamp,sha_after_alteration,alteration_detected_at,first_commit_date,last_commit_date,primary_path,nixpkg_before_alteration,nixpkg_before_old_snap,days_from_first_commit_to_alteration
armips,armips,0.11.0,fetchFromGitHub,https://github.com/Kingcom/armips,Kingcom,armips,refs/tags/v0.11.0,tag,sha256-L+Uxww/WtvDJn1xZqoqA6Pkzq/98sy1qTxZbv6eEjbA=,https://github.com/Kingcom/armips/archive/refs/tags/v0.11.0.tar.gz,refs/tags/v0.11.0,swh:1:snp:18e62bde6a1e1933cca215d0cc2a5c9ded4cca88,2020-10-04 16:26:35+00:00,swh:1:snp:b02e6473e038a508e874bb6e990bbb8ee7f802ef,2022-01-25 17:44:03+00:00,2025-05-31 16:43:18+00:00,2025-12-10 17:56:58+00:00,pkgs/by-name/ar/armips/package.nix,False,False,-1221.9578125
cozy,cozy,1.3.0,fetchFromGitHub,https://github.com/geigi/cozy,geigi,cozy,refs/tags/1.3.0,tag,sha256-oMgdz2dny0u1XV13aHu5s8/pcAz8z/SAOf4hbCDsdjw,https://github.com/geigi/cozy/archive/refs/tags/1.3.0.tar.gz,refs/tags/1.3.0,swh:1:snp:bfeb954cf866b15c9b5118bf333789f952a5d2c9,2023-12-04 13:28:03+00:00,swh:1:snp:56415de1de815c995b40b61e9218e434be5791ff,2024-02-17 06:52:31+00:00,2024-11-09 12:04:51+00:00,2025-12-10 17:56:58+00:00,pkgs/by-name/co/cozy/package.nix,False,False,-266.2168981481482
cozy,cozy,1.3.0,fetchFromGitHub,https://github.com/geigi/cozy,geigi,cozy,refs/tags/1.3.0,tag,sha256-oMgdz2dny0u1XV13aHu5s8/pcAz8z/SAOf4hbCDsdjw,https://github.com/geigi/cozy/archive/refs/tags/1.3.0.tar.gz,refs/tags/1.3.0,swh:1:snp:56415de1de815c995b40b61e9218e434be5791ff,2024-02-17 06:52:31+00:00,swh:1:snp:f4e81bc603947f1644e193f8edc92c3707659ab0,2024-03-18 00:12:54+00:00,2024-11-09 12:04:51+00:00,2025-12-10 17:56:58+00:00,pkgs/by-name/co/cozy/package.nix,False,False,-236.49440972222223
dosbox-staging,dosbox-staging,0.82.2,fetchFromGitHub,https://github.com/dosbox-staging/dosbox-staging,dosbox-staging,dosbox-staging,refs/tags/v0.82.2,tag,sha256-u9W6TfHF+BNeoExcx98kCVJu1BNwWnvjBEg84evMnBw=,https://github.com/dosbox-staging/dosbox-staging/archive/refs/tags/v0.82.2.tar.gz,refs/tags/v0.82.2,swh:1:snp:c80dfec390768deb3eb595840cc3d47b1172da55,2025-04-28 22:07:37+00:00,swh:1:snp:d0b42e4f57b69fd3b994a95a61a330e308d3e073,2025-06-20 15:50:10+00:00,2023-10-11 17:11:38+00:00,2025-07-22 13:19:36+00:00,pkgs/by-name/do/dosbox-staging/package.nix,True,True,617.9434259259259
driftnet,driftnet,1.6.0,fetchFromGitHub,https://github.com/deiv/driftnet,deiv,driftnet,refs/tags/v1.6.0,tag,sha256-f7EPC/n3CyxVOXC6j43Nnwkgu/aDVst8lQpzfgegDsI=,https://github.com/deiv/driftnet/archive/refs/tags/v1.6.0.tar.gz,refs/tags/v1.6.0,swh:1:snp:0be0677e1b56037eaa6bf434b08d71d66c1acb7f,2025-04-30 07:13:44+00:00,swh:1:snp:8119fb6781ce62841ae1192723e5bfda0dea7ced,2025-05-13 02:33:41+00:00,2024-11-09 12:04:51+00:00,2025-12-07 19:52:19+00:00,pkgs/by-name/dr/driftnet/package.nix,True,True,184.60335648148148
faraday-agent-dispatcher,faraday-agent-dispatcher,3.4.2,fetchFromGitHub,https://github.com/infobyte/faraday_agent_dispatcher,infobyte,faraday_agent_dispatcher,refs/tags/3.4.2,tag,sha256-Qr3ZGU4y7f6yHD78ecdv7a6IBFDpT+/4Yez0n/MenN0=,https://github.com/infobyte/faraday_agent_dispatcher/archive/refs/tags/3.4.2.tar.gz,refs/tags/3.4.2,swh:1:snp:1bc292c9f88b116ba209a32d3ceb75ba52b036f9,2024-07-10 23:57:01+00:00,swh:1:snp:c44391387690b21ef3df446d52f2af77cab4df15,2024-07-22 01:55:47+00:00,2024-11-09 12:04:51+00:00,2025-06-02 06:42:56+00:00,pkgs/by-name/fa/faraday-agent-dispatcher/package.nix,False,False,-110.42296296296297
gamemode,gamemode,1.8.2,fetchFromGitHub,https://github.com/FeralInteractive/gamemode,FeralInteractive,gamemode,refs/tags/1.8.2,tag,sha256-V0rewbSVOGFqJqXyCz4jXpuDM0EfjdkpGPl+WdDwI5I=,https://github.com/FeralInteractive/gamemode/archive/refs/tags/1.8.2.tar.gz,refs/tags/1.8.2,swh:1:snp:ce0233d3eb10836f2f1cbb6837e37d6294a6a0a5,2024-08-30 21:47:20+00:00,swh:1:snp:4030d251cc4786035ba073a598ce7192469a34d4,2024-09-14 21:49:26+00:00,2021-05-18 00:31:45+00:00,2025-01-27 01:10:23+00:00,nixos/modules/programs/gamemode.nix,True,True,1215.8872800925926
go-cve-search,go-cve-search,0.1.4,fetchFromGitHub,https://github.com/s-index/go-cve-search,s-index,go-cve-search,refs/tags/v0.1.4,tag,sha256-gx2No5XGflGY6TIU92gz9XrNDzd4NiSuxpbwxChlqWo=,https://github.com/s-index/go-cve-search/archive/refs/tags/v0.1.4.tar.gz,refs/tags/v0.1.4,swh:1:snp:8872f8aeab7db1e1c50eaa47fd41dbbf1c794897,2023-02-26 06:13:47+00:00,swh:1:snp:12922a6082a590698c4b2474e1b31c7df6b28ca9,2023-03-16 18:26:33+00:00,2024-11-09 12:04:51+00:00,2025-06-03 14:15:50+00:00,pkgs/by-name/go/go-cve-search/package.nix,False,False,-603.7349305555556
haunt,haunt,0.3.0,fetchgit,https://git.dthompson.us/haunt.git,,,refs/tags/v0.3.0,tag,sha256-i6MI0eaRiA/JNgkIBJGLAsqMnyJz47aavyD6kOL7sqU=,,refs/tags/v0.3.0,swh:1:snp:19638c9877c6766a4c5203653437346fe5cc2ac0,2023-06-22 16:59:26+00:00,swh:1:snp:dd7e7f1d145459c6f47916cb7f6ee0b2d9eb82e6,2023-12-15 04:21:17+00:00,2023-10-09 23:36:02+00:00,2025-07-17 03:39:56+00:00,pkgs/by-name/ha/haunt/package.nix,True,False,66.19809027777778
hjson,hjson,3.0.2,fetchFromGitHub,https://github.com/hjson/hjson-py,hjson,hjson-py,refs/tags/v3.0.2,tag,sha256-VrCLHfXShF45IEhGVQpryBzjxreQEunyghazDNKRh8k=,https://github.com/hjson/hjson-py/archive/refs/tags/v3.0.2.tar.gz,refs/tags/v3.0.2,swh:1:snp:a3c9fe9e15d0d0a2f034f32a34ae532e2e7a5401,2017-05-31 22:41:52+00:00,swh:1:snp:df15422b759ba5df754d320652a980a21de54112,2021-01-09 01:07:31+00:00,2020-11-29 01:30:40+00:00,2025-12-10 17:56:58+00:00,pkgs/development/python-modules/hjson/default.nix,True,False,40.98392361111111
intel-ipsec-mb,intel-ipsec-mb,2.0.1,fetchFromGitHub,https://github.com/intel/intel-ipsec-mb,intel,intel-ipsec-mb,refs/tags/v2.0.1,tag,sha256-k/NoPMKbiWZ25tdomsPpv2gfhQuBHxzX6KRT1UY88Ko=,https://github.com/intel/intel-ipsec-mb/archive/refs/tags/v2.0.1.tar.gz,refs/tags/v2.0.1,swh:1:snp:4519eeb342e0c6cfd63a56e15c1ba23b3f02e446,2025-07-02 19:57:04+00:00,swh:1:snp:ecf47bedddfe65f8217fafe8643aa3fd4670bbbb,2025-08-02 01:30:12+00:00,2025-10-24 08:47:28+00:00,2025-12-10 17:56:58+00:00,pkgs/by-name/in/intel-ipsec-mb/package.nix,False,False,-83.30365740740741
ktimetracker,ktimetracker,6.0.0,fetchFromGitHub,https://github.com/KDE/ktimetracker,KDE,ktimetracker,refs/tags/v6.0.0,tag,sha256-SQjqNzmmt0AEQvGW4Vz5GldQcp7Q9rZvGG7mGugRwd8=,https://github.com/KDE/ktimetracker/archive/refs/tags/v6.0.0.tar.gz,refs/tags/v6.0.0,swh:1:snp:ba3ed19a3d295530fb42602da9babec24acba3f4,2025-04-24 22:29:30+00:00,swh:1:snp:cddea831193d1fc0e4165011534b751160f2e228,2025-06-23 17:58:27+00:00,2025-08-05 18:54:34+00:00,2025-09-01 11:00:13+00:00,pkgs/by-name/kt/ktimetracker/package.nix,False,False,-43.038969907407406
libv3270,libv3270,5.5.0,fetchFromGitHub,https://github.com/PerryWerneck/libv3270,PerryWerneck,libv3270,refs/tags/5.5.0,tag,sha256-Cn/to1/7mH1Ygjcx12mMf52PTcz4smy/+bwWH1mbT9s=,https://github.com/PerryWerneck/libv3270/archive/refs/tags/5.5.0.tar.gz,refs/tags/5.5.0,swh:1:snp:408f44ad8ebabc3bb2af9de19828532ab8af10c9,2024-12-14 15:07:21+00:00,swh:1:snp:ba8ca04a1f63ede831117994f84f244121564323,2025-05-01 06:44:24+00:00,2023-11-21 16:27:25+00:00,2025-11-16 03:47:15+00:00,pkgs/by-name/li/libv3270/package.nix,True,True,526.5951273148148
libv3270,libv3270,5.5.0,fetchFromGitHub,https://github.com/PerryWerneck/libv3270,PerryWerneck,libv3270,refs/tags/5.5.0,tag,sha256-Cn/to1/7mH1Ygjcx12mMf52PTcz4smy/+bwWH1mbT9s=,https://github.com/PerryWerneck/libv3270/archive/refs/tags/5.5.0.tar.gz,refs/tags/5.5.0,swh:1:snp:ba8ca04a1f63ede831117994f84f244121564323,2025-05-01 06:44:24+00:00,swh:1:snp:eb104de0372cd03469106e7f2c8663f8724a3abc,2025-09-03 12:25:55+00:00,2023-11-21 16:27:25+00:00,2025-11-16 03:47:15+00:00,pkgs/by-name/li/libv3270/package.nix,True,True,651.8322916666667
medusa,medusa,2.3,fetchFromGitHub,https://github.com/jmk-foofus/medusa,jmk-foofus,medusa,refs/tags/2.3,tag,sha256-ftn5RBE3NYfjXLq8Gm92sbFW+M925BDuL/VmwfPYXpo=,https://github.com/jmk-foofus/medusa/archive/refs/tags/2.3.tar.gz,refs/tags/2.3,swh:1:snp:36fbc2f18b9b62e7e7d76968eed022f352c30c8e,2024-04-03 20:13:47+00:00,swh:1:snp:7e84d01e9fd3cb3befc422c4df216f2da92cba2e,2025-05-19 09:31:24+00:00,2024-11-09 12:04:51+00:00,2025-12-10 17:56:58+00:00,pkgs/by-name/me/medusa/package.nix,True,False,190.8934375
mingtest,mingtest,0.2.1,fetchFromGitHub,https://github.com/craflin/mingtest,craflin,mingtest,refs/tags/0.2.1,tag,sha256-buFr5w+3YJ2gJeQ8YTsFrUMU9hWq/iAJ6cW6ykvETfM=,https://github.com/craflin/mingtest/archive/refs/tags/0.2.1.tar.gz,refs/tags/0.2.1,swh:1:snp:d935ba74f0eac72b6afa32cdc32c8ca6fc131655,2024-10-08 18:11:37+00:00,swh:1:snp:b3e57d03661018f9e79e3042c4816e9183c8bd30,2024-10-30 23:57:53+00:00,2024-07-17 05:11:00+00:00,2025-01-03 20:24:13+00:00,pkgs/by-name/mi/mingtest/package.nix,True,True,105.78255787037037
ocamlPackages.landmarks,landmarks,1.5,fetchFromGitHub,https://github.com/LexiFi/landmarks,LexiFi,landmarks,refs/tags/v1.5,tag,sha256-eIq02D19OzDOrMDHE1Ecrgk+T6s9vj2X6B2HY+z+K8Q=,https://github.com/LexiFi/landmarks/archive/refs/tags/v1.5.tar.gz,refs/tags/v1.5,swh:1:snp:51cf2c389b8c246871da1b480aa38bdf8859fe5e,2025-01-17 14:01:34+00:00,swh:1:snp:f704be07c936abace95b762590ea007db739f015,2025-02-03 21:04:52+00:00,,,,False,False,
